Expected_Confidence,MVE_Observed_Confidence_Train,MVE_Observed_Confidence_Test,MVE_Observed_Confidence_OOD_EXP,MVE_Observed_Confidence_OOD_MD
0.65,0.4220814479638009,0.4220814479638009,0.07083333333333333,0.03356890459363958
0.66,0.43095022624434387,0.43095022624434387,0.075,0.03356890459363958
0.67,0.43800904977375565,0.43800904977375565,0.07916666666666666,0.03356890459363958
0.68,0.4461538461538462,0.4461538461538462,0.07916666666666666,0.03356890459363958
0.6900000000000001,0.45610859728506786,0.45610859728506786,0.07916666666666666,0.03356890459363958
0.7000000000000001,0.4644343891402715,0.4644343891402715,0.07916666666666666,0.0353356890459364
0.71,0.47294117647058825,0.47294117647058825,0.07916666666666666,0.038869257950530034
0.72,0.4832579185520362,0.4832579185520362,0.08333333333333333,0.04240282685512368
0.73,0.49085972850678733,0.49085972850678733,0.08333333333333333,0.044169611307420496
0.74,0.49900452488687785,0.49900452488687785,0.08333333333333333,0.045936395759717315
0.75,0.5058823529411764,0.5058823529411764,0.08333333333333333,0.045936395759717315
0.76,0.5163800904977376,0.5163800904977376,0.09583333333333334,0.04770318021201413
0.77,0.5252488687782806,0.5252488687782806,0.09583333333333334,0.04770318021201413
0.78,0.5344796380090497,0.5344796380090497,0.09583333333333334,0.04770318021201413
0.79,0.5442533936651583,0.5442533936651583,0.09583333333333334,0.04770318021201413
0.8,0.5561990950226244,0.5561990950226244,0.09583333333333334,0.04770318021201413
0.81,0.5666968325791856,0.5666968325791856,0.1,0.04770318021201413
0.8200000000000001,0.5768325791855203,0.5768325791855203,0.1,0.04770318021201413
0.8300000000000001,0.5882352941176471,0.5882352941176471,0.10833333333333334,0.04946996466431095
0.84,0.598371040723982,0.598371040723982,0.11666666666666667,0.04946996466431095
0.85,0.6092307692307692,0.6092307692307692,0.11666666666666667,0.04946996466431095
0.86,0.6199095022624435,0.6199095022624435,0.11666666666666667,0.053003533568904596
0.87,0.6287782805429865,0.6287782805429865,0.11666666666666667,0.053003533568904596
0.88,0.6360180995475113,0.6360180995475113,0.11666666666666667,0.054770318021201414
0.89,0.6477828054298642,0.6477828054298642,0.12916666666666668,0.06007067137809187
0.9,0.6575565610859728,0.6575565610859728,0.13333333333333333,0.0636042402826855
0.91,0.6702262443438914,0.6702262443438914,0.13333333333333333,0.06713780918727916
0.92,0.68579185520362,0.68579185520362,0.13333333333333333,0.06713780918727916
0.93,0.7040723981900453,0.7040723981900453,0.13333333333333333,0.06713780918727916
0.9400000000000001,0.7201809954751132,0.7201809954751132,0.14583333333333334,0.0706713780918728
0.9500000000000001,0.7382805429864253,0.7382805429864253,0.14583333333333334,0.0812720848056537
0.96,0.7583710407239819,0.7583710407239819,0.15,0.0812720848056537
0.97,0.7835294117647059,0.7835294117647059,0.15416666666666667,0.08480565371024736
0.98,0.8108597285067873,0.8108597285067873,0.18333333333333332,0.08833922261484099
0.99,0.8514027149321267,0.8514027149321267,0.19166666666666668,0.09010600706713781
1.0,1.0,1.0,1.0,1.0
